ph,treatment,disease,Lead,Mercury,Arsenic,Fluoride,Pesticides,Bacteria
4.22,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,0,0
6.83,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
8.26,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
8.97,Activated Alumina + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,1
6.81,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
8.38,No treatment needed,Healthy,0,0,0,0,0,0
6.23,Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,0
4.94,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.13,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.53,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,0
7.4,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
6.27,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.0,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
4.23,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
8.37,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
5.21,Activated Alumina + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,1
6.67,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
4.9,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.69,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
6.1,Activated Carbon Filter + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Nervous system damage",1,1,0,0,0,1
9.57,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
6.97,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
4.57,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
6.27,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
7.12,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
5.16,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
5.11,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.56,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
5.83,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,1,0,0,1,0
5.68,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
9.49,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
6.63,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
6.75,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
4.53,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.36,No treatment needed,Healthy,0,0,0,0,0,0
6.76,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
4.39,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,1,0
6.19,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
8.25,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
6.66,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
9.02,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
5.05,Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,0
8.76,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
9.01,Activated Alumina + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,1
9.15,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
8.7,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
9.24,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
6.97,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
5.26,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
4.82,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
5.05,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
8.72,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
5.6,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
7.39,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
7.23,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
6.69,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
5.65,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
7.98,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
8.62,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
8.36,No treatment needed,Healthy,0,0,0,0,0,0
6.46,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.44,Activated Alumina + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,1
4.68,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
6.29,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,1,0,0,1
6.86,Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,0
6.4,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.87,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,1,0,0,0,1
8.46,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
8.32,No treatment needed,Healthy,0,0,0,0,0,0
9.93,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
6.26,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
7.81,Activated Alumina + Activated Carbon Filter,"Brain damage, Skeletal Fluorosis",0,1,0,1,0,0
5.98,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
4.08,Activated Alumina + Activated Carbon Filter,"Brain damage, Skeletal Fluorosis",0,1,0,1,0,0
9.47,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.34,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.29,Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,0
6.85,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
5.68,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
5.64,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.34,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
5.75,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
8.57,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.32,No treatment needed,Healthy,0,0,0,0,0,0
4.15,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.82,No treatment needed,Healthy,0,0,0,0,0,0
5.85,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
6.82,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
6.23,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
7.94,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
7.28,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
4.93,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.82,No treatment needed,Healthy,0,0,0,0,0,0
4.55,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
5.73,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
6.98,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
9.34,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
6.43,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
7.71,Activated Carbon Filter + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Brain damage, Hormonal imbalance, Nervous system damage",1,1,0,0,1,0
9.63,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,1,0,1,0,1
5.69,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.13,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
6.73,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,1,1
7.75,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,0
7.23,Activated Alumina + Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,1
7.3,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
7.97,No treatment needed,Healthy,0,0,0,0,0,0
9.45,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
4.29,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
9.02,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
6.93,Granular Activated Carbon + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Nervous system damage",1,0,0,0,1,1
9.86,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
4.37,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
5.4,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.94,No treatment needed,Healthy,0,0,0,0,0,0
9.96,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
5.69,Activated Alumina + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis",0,0,0,1,0,1
5.88,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
4.87,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,1,0,0,0
8.77,Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,0
5.74,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.07,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
4.24,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.1,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
4.52,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.83,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
7.84,No treatment needed,Healthy,0,0,0,0,0,0
4.59,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
6.69,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
5.27,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
6.18,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
6.85,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
7.33,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
4.11,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.81,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
7.61,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
4.01,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.01,No treatment needed,Healthy,0,0,0,0,0,0
9.23,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
8.19,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
5.33,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
6.54,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
7.82,No treatment needed,Healthy,0,0,0,0,0,0
8.85,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
5.84,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
7.01,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
5.97,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.78,Activated Alumina + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis",0,0,0,1,0,1
6.44,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
9.52,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
5.6,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
6.94,No treatment needed,Healthy,0,0,0,0,0,0
8.86,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
6.23,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.37,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
7.07,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
7.61,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
9.55,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.96,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
7.54,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
4.86,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
8.77,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
9.58,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
5.71,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
9.73,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
7.86,Activated Carbon Filter + Granular Activated Carbon + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Hormonal imbalance",0,1,0,0,1,1
8.87,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.43,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
4.24,Activated Alumina + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,1
9.17,Activated Alumina + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,1
4.67,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
5.65,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
8.03,No treatment needed,Healthy,0,0,0,0,0,0
9.92,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
5.09,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
6.28,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
4.3,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
5.26,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
5.35,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.96,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
5.04,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
9.31,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
5.12,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.43,No treatment needed,Healthy,0,0,0,0,0,0
9.48,Granular Activated Carbon + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Nervous system damage",1,0,0,0,1,1
7.68,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
5.89,Activated Alumina + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,1
8.25,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
4.49,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.13,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.93,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
6.14,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
5.66,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
8.33,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
5.78,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
4.36,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
9.58,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.25,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
7.69,No treatment needed,Healthy,0,0,0,0,0,0
9.18,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,1,0,1,0,0
7.28,Activated Alumina + Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,1
6.81,Activated Alumina + Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,1
8.45,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
9.62,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
8.39,No treatment needed,Healthy,0,0,0,0,0,0
8.26,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
7.21,No treatment needed,Healthy,0,0,0,0,0,0
4.13,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
6.95,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
9.65,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
4.58,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.1,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
5.88,Granular Activated Carbon + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,1
4.31,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
5.59,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.65,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
8.31,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
9.2,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,0,1,0,0,1
8.12,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
4.96,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
5.8,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
4.33,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,1,0
8.23,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,1,0
5.46,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
6.86,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,0
8.65,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
8.34,No treatment needed,Healthy,0,0,0,0,0,0
6.15,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.47,Activated Carbon Filter + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skin lesions, Cancer",0,1,1,0,0,1
9.23,Activated Carbon Filter + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Brain damage, Hormonal imbalance, Nervous system damage",1,1,0,0,1,0
7.06,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,0,0
4.42,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
7.59,No treatment needed,Healthy,0,0,0,0,0,0
5.16,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.69,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
4.86,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
4.05,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
6.98,No treatment needed,Healthy,0,0,0,0,0,0
4.04,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
4.9,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.74,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
5.34,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
4.04,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
7.8,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
6.08,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
5.08,Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,0
6.62,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,0
4.0,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
6.08,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.54,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
6.74,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
